insu_id,inca_id,name,description,code,icon_uri
1,1,Theft,"Incidents involving the unauthorized taking of property without the use of force.",theft,crime.png
2,1,Robbery,"Crimes where property is taken by force or intimidation from a person or place.",robbery,robbery.png
3,1,Assault,"Physical attacks or violent confrontations that result in harm or the threat of harm.",assault,assault.png
4,1,Homicide,"Cases involving the unlawful killing of an individual, including murder and attempted murder.",homicide,homicide.png
5,1,Fraud,"Incidents of deception or financial scams intended to gain property or money illicitly.",fraud,fraud.png
6,2,Vehicle Collision,"Incidents where two or more vehicles collide, often resulting in property damage or injuries.",vehicle_collision,single_vehicle_accident.png
7,2,Pedestrian Involvement,"Accidents that include pedestrians being struck or endangered by vehicles.",pedestrian_nvolvement,pedestrian_nvolvement.png
8,2,Hit-and-Run,"Accidents in which the driver responsible leaves the scene without providing assistance or identification.",hit_and_run,hit_and_run.png
9,2,Multi-Vehicle Pileup,"Large-scale collisions involving several vehicles, typically resulting in complex traffic disruptions.",multi_vehicle_ileup,traffic_accident.png
10,3,Cardiac Arrest,"Situations where an individual's heart stops functioning effectively, requiring immediate intervention.",cardiac_arrest,medical_emergency.png
11,3,Stroke,"Emergencies where blood flow to the brain is interrupted, leading to potential brain damage.",stroke,medical_emergency.png
12,3,Trauma/Injury,"Accidents or incidents resulting in physical injuries or significant bodily harm.",trauma_Injury,medical_emergency.png
13,3,Overdose/Poisoning,"Cases involving excessive intake of substances or exposure to toxic materials.",overdose_poisoning,medical_emergency.png
14,3,Other Medical Emergency,"Any urgent medical situation that does not fall under the above categories.",other_medical_emergency,other_medical_emergency.png
15,4,Building Fire,"Fires occurring in homes or residential buildings, posing immediate danger to inhabitants.",residential_fire,building_fire.png
16,4,Wildfire,"Large, uncontrolled fires that spread across forests, grasslands, or rural areas.",wildfire,wildfire.png
17,4,Vehicle Fire,"Fires involving cars or other types of vehicles, often requiring specialized response.",vehicle_fire,vehicle_fire.png
18,4,Other Fire Incident,"Fire-related incidents that do not fit into the standard categories listed above.",other_fire_incident,fire_incident.png
19,5,Graffiti,"Unauthorized painting, tagging, or markings on public or private property.",graffiti,graffiti.png
20,5,Vehicle Vandalism,"Acts of vandalism specifically targeting vehicles, such as keying or breaking windows.",vehicle_vandalism,vehicle_vandalism.png
